"cd_nom","rang","nom_complet"
417004,"GN","Salamis Boisduval, 1833"
417302,"GN","Parides Hübner, 1819"
433701,"ES","Plebejus bellieri (Oberthür, 1910)"
457884,"GN","Coeliades Hübner, 1818"
457901,"GN","Deudorix Hewitson, 1863"
457907,"GN","Eagris Guenée, 1862"
457918,"GN","Euploea Fabricius, 1807"
457919,"GN","Eurema Hübner, 1819"
457931,"GN","Henotesia Butler, 1879"
457946,"GN","Junonia Hübner, 1819"
457949,"GN","Leptomyrina Butler, 1898"
457960,"GN","Melanitis Fabricius, 1807"
457986,"GN","Parnara Moore, 1881"
458032,"GN","Zizina Chapman, 1910"
458033,"GN","Zizula Chapman, 1910"
458104,"ES","Cacyreus darius (Mabille, 1877)"
458117,"ES","Catopsilia thauruma (Reakirt, 1866)"
458120,"ES","Chilades pandava (Horstfield, 1829)"
458141,"ES","Coeliades ernesti (Grandidier, 1867)"
458142,"ES","Coeliades forestan (Stoll in Cramer, 1782)"
458176,"ES","Deudorix antalus (Hopffer, 1855)"
458186,"ES","Eagris sabadius (Gray, 1832)"
458209,"ES","Euploea goudotii Boisduval, 1833"
458264,"ES","Junonia rhadama (Boisduval, 1833)"
458269,"ES","Leptomyrina phidias (Fabricius, 1793)"
458291,"ES","Melanitis leda (Linnaeus, 1758)"
458319,"ES","Neptis dumetorum (Boisduval, 1833)"
458351,"ES","Papilio demodocus Esper, 1798"
458358,"ES","Parnara naso (Fabricius, 1798)"
458467,"ES","Zizula hylax (Fabricius, 1775)"
458472,"SSES","Antanartia borbonica borbonica (Oberthür, 1879)"
458476,"SSES","Borbo borbonica borbonica (Boisduval, 1833)"
458485,"SSES","Danaus plexippus plexippus (Linnaeus, 1758)"
458488,"SSES","Eagris sabadius sabadius (Gray, 1832)"
458504,"SSES","Parnara naso bigutta (Evans, 1937)"
458507,"SSES","Salamis augustina augustina Boisduval, 1833"
521494,"ES","Aricia agestis (Denis & Schiffermüller, 1775)"
528786,"GN","Pseudonacaduba Stempffer, 1942"
528787,"ES","Pseudonacaduba sichela (Wallengren, 1857)"
528804,"ES","Spalgis tintinga (Boisduval, 1833)"
528805,"GN","Spalgis Moore, 1879"
590024,"ES","Deudorix epijarbas (Moore, 1858)"
590038,"ES","Papilio anactus MacLeay, 1826"
608224,"SBFM","Chalcosiinae Walker, 1865"
608225,"SBFM","Procridinae Boisduval, 1828"
608237,"SBFM","Hesperiinae Latreille, 1809"
608238,"SBFM","Heteropterinae Aurivillius, 1925"
608239,"SBFM","Pyrginae Burmeister, 1878"
608242,"SSES","Muschampia proto proto (Ochsenheimer, 1808)"
